ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,Reported1st case,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
2075,Luxembourg,37.0,,,Feb 28 ,31.0,2178,23.0,80.0,3479.0
1947,Philippines,0.8,,,Jan 29 ,1.0,2084,88.0,49.0,19.0
1934,Pakistan,0.1,104.0,,Feb 25 ,12.0,2042,26.0,82.0,9.0
1417,Thailand,0.2,120.0,2.0,Jan 12 ,23.0,1771,12.0,342.0,25.0
1397,India,0.03,193.0,10.0,Jan 29 ,,1590,45.0,148.0,1.0
1388,Saudi Arabia,0.3,,,Mar 01 ,31.0,1563,10.0,165.0,45.0
1311,Indonesia,0.5,,,Mar 01 ,,1528,136.0,81.0,6.0
1391,Finland,3.0,,,Jan 28 ,56.0,1418,17.0,10.0,256.0
1317,South Africa,0.08,,,Mar 04 ,7.0,1353,5.0,31.0,23.0
1213,Greece,5.0,,,Feb 25 ,72.0,1314,49.0,52.0,126.0
1151,Mexico,0.2,121.0,1.0,Feb 27 ,1.0,1215,29.0,35.0,9.0
1142,Panama,7.0,,,Mar 09 ,50.0,1181,30.0,9.0,274.0
935,Iceland,6.0,,,Feb 27 ,11.0,1135,2.0,198.0,3326.0
1053,Dominican Republic,5.0,,,Feb 29 ,,1109,51.0,5.0,102.0
641,Peru,0.9,,,Mar 05 ,49.0,1065,30.0,394.0,32.0
787,Argentina,0.6,,,Mar 02 ,,1054,27.0,240.0,23.0
683,Singapore,0.5,,,Jan 22 ,22.0,926,3.0,240.0,158.0
859,Colombia,0.3,,,Mar 05 ,35.0,906,16.0,31.0,18.0
835,Serbia,3.0,,,Mar 05 ,62.0,900,23.0,42.0,103.0
794,Croatia,1.0,,,Feb 24 ,32.0,867,6.0,67.0,211.0
777,Slovenia,7.0,,,Mar 03 ,24.0,802,15.0,10.0,386.0
717,Qatar,0.7,,,Feb 28 ,6.0,781,2.0,62.0,271.0
715,Estonia,3.0,,,Feb 26 ,13.0,745,4.0,26.0,562.0
626,Algeria,1.0,,,Feb 24 ,,716,44.0,46.0,16.0
583,Hong Kong,0.5,,,Jan 22 ,5.0,715,4.0,128.0,95.0
98,Diamond Princess,,,,Feb 04 ,15.0,712,11.0,603.0,
507,Egypt,0.4,,,Feb 13 ,,710,46.0,157.0,7.0
624,New Zealand,0.2,61.0,,Feb 27 ,2.0,708,1.0,83.0,147.0
474,Iraq,1.0,,,Feb 21 ,,694,50.0,170.0,17.0
597,UAE,0.6,,,Jan 28 ,2.0,664,6.0,61.0,67.0
618,Ukraine,0.4,,,Mar 02 ,,645,17.0,10.0,15.0
557,Morocco,1.0,,,Mar 01 ,1.0,617,36.0,24.0,17.0
566,Lithuania,3.0,44.0,,Feb 27 ,27.0,581,8.0,7.0,213.0
268,Bahrain,2.0,,,Feb 23 ,2.0,567,4.0,295.0,333.0
499,Armenia,1.0,,,Feb 29 ,30.0,532,3.0,30.0,180.0
465,Hungary,2.0,33.0,4.0,Mar 03 ,6.0,525,20.0,40.0,54.0
414,Lebanon,2.0,,,Feb 20 ,7.0,463,12.0,37.0,68.0
390,Bosnia and Herzegovina,4.0,,,Mar 04 ,1.0,420,13.0,17.0,128.0
384,Bulgaria,1.0,13.0,,Mar 06 ,14.0,412,8.0,20.0,59.0
397,Latvia,,,,Mar 01 ,3.0,398,,1.0,211.0
381,Tunisia,0.8,,,Mar 01 ,10.0,394,10.0,3.0,33.0
354,Andorra,155.0,,,Mar 01 ,12.0,376,12.0,10.0,4866.0
342,Kazakhstan,0.2,26.0,1.0,Mar 12 ,6.0,369,3.0,24.0,20.0
360,Slovakia,,,,Mar 05 ,1.0,363,,3.0,66.0
331,Moldova,1.0,,,Mar 06 ,44.0,353,4.0,18.0,88.0
341,Costa Rica,0.4,,,Mar 04 ,8.0,347,2.0,4.0,68.0
296,Uruguay,0.3,,,Mar 12 ,12.0,338,1.0,41.0,97.0
308,North Macedonia,4.0,,,Feb 25 ,4.0,329,9.0,12.0,158.0
278,Taiwan,0.2,,,Jan 20 ,,322,5.0,39.0,14.0
267,Azerbaijan,0.5,,,Feb 27 ,11.0,298,5.0,26.0,29.0
216,Kuwait,,,,Feb 23 ,13.0,289,,73.0,68.0
239,Jordan,0.5,,,Mar 01 ,5.0,274,5.0,30.0,27.0
231,Cyprus,7.0,,,Mar 08 ,3.0,262,8.0,23.0,217.0
215,Burkina Faso,0.7,,,Mar 08 ,,261,14.0,32.0,12.0
246,Réunion,,,,Mar 10 ,4.0,247,,1.0,276.0
176,Albania,5.0,,,Mar 07 ,8.0,243,15.0,52.0,84.0
197,San Marino,766.0,,,Feb 26 ,16.0,236,26.0,13.0,6955.0
212,Cameroon,0.2,30.0,,Mar 05 ,,223,6.0,5.0,8.0
154,Vietnam,,,,Jan 22 ,3.0,212,,58.0,2.0
187,Afghanistan,0.1,22.0,,Feb 23 ,,196,4.0,5.0,5.0
157,Oman,0.2,,,Feb 23 ,3.0,192,1.0,34.0,38.0
172,Cuba,0.5,,,Mar 10 ,3.0,186,6.0,8.0,16.0
171,Ivory Coast,0.04,,,Mar 10 ,,179,1.0,7.0,7.0
135,Senegal,,,,Mar 01 ,,175,,40.0,10.0
163,Uzbekistan,0.06,1.0,,Mar 14 ,8.0,173,2.0,8.0,5.0
159,Honduras,1.0,31.0,3.0,Mar 10 ,4.0,172,10.0,3.0,17.0
95,Faeroe Islands,,,,Mar 03 ,3.0,169,,74.0,3459.0
167,Malta,,,,Mar 06 ,2.0,169,,2.0,383.0
109,Belarus,0.1,11.0,,Feb 27 ,2.0,163,1.0,53.0,17.0
125,Ghana,0.2,,,Mar 11 ,1.0,161,5.0,31.0,5.0
138,Mauritius,4.0,,,Mar 17 ,1.0,143,5.0,,112.0
99,Venezuela,0.1,8.0,,Mar 12 ,6.0,143,3.0,41.0,5.0
124,Sri Lanka,0.09,,,Jan 26 ,5.0,143,2.0,17.0,7.0
138,Channel Islands,17.0,,,Mar 08 ,,141,3.0,,811.0
128,Nigeria,0.01,4.0,,Feb 27 ,,139,2.0,9.0,0.7
83,Brunei ,2.0,,,Mar 08 ,3.0,129,1.0,45.0,295.0
98,Martinique,8.0,,,Mar 04 ,15.0,128,3.0,27.0,341.0
100,Palestine,0.2,,,Mar 04 ,,119,1.0,18.0,23.0
107,Bolivia,0.6,8.0,1.0,Mar 09 ,3.0,115,7.0,1.0,10.0
88,Guadeloupe,10.0,,,Mar 12 ,14.0,114,4.0,22.0,285.0
89,Georgia,,,,Feb 25 ,6.0,110,,21.0,28.0
107,Montenegro,3.0,,,Mar 16 ,4.0,109,2.0,,174.0
84,Cambodia,,,,Jan 26 ,1.0,109,,25.0,7.0
104,Kyrgyzstan,,,,Mar 17 ,,107,,3.0,16.0
88,DRC,0.09,,,Mar 09 ,,98,8.0,2.0,1.0
83,Mayotte,4.0,,,Mar 13 ,3.0,94,1.0,10.0,345.0
84,Trinidad and Tobago,3.0,2.0,1.0,Mar 11 ,,89,4.0,1.0,64.0
75,Rwanda,,,,Mar 13 ,,75,,,6.0
35,Gibraltar,,,,Mar 02 ,,69,,34.0,2048.0
68,Liechtenstein,,,,Mar 02 ,,68,,,1783.0
61,Paraguay,0.4,,,Mar 06 ,3.0,65,3.0,1.0,9.0
60,Isle of Man,,,,Mar 18 ,,60,,,706.0
57,Kenya,0.02,,,Mar 12 ,2.0,59,1.0,1.0,1.0
57,Madagascar,,,,Mar 19 ,6.0,57,,,2.0
54,Aruba,,,,Mar 12 ,,55,,1.0,515.0
49,Monaco,25.0,,,Feb 27 ,,52,1.0,2.0,1325.0
21,Bangladesh,0.03,,,Mar 07 ,1.0,51,5.0,25.0,0.3
36,French Guiana,,,,Mar 06 ,,51,,15.0,171.0
44,Uganda,,,,Mar 20 ,,44,,,1.0
31,Macao,,,,Jan 21 ,,41,,10.0,63.0
34,Jamaica,0.7,,,Mar 09 ,,38,2.0,2.0,13.0
25,Guatemala,0.06,,,Mar 12 ,1.0,38,1.0,12.0,2.0
37,French Polynesia,,,,Mar 10 ,1.0,37,,,132.0
36,Zambia,,,,Mar 17 ,,36,,,2.0
31,Niger,0.1,,,Mar 18 ,,34,3.0,,1.0
23,Togo,0.1,,,Mar 05 ,,34,1.0,10.0,4.0
34,Barbados,,,,Mar 16 ,,34,,,118.0
31,El Salvador,0.2,,,Mar 18 ,1.0,32,1.0,,5.0
22,Bermuda,,,,Mar 17 ,,32,,10.0,514.0
30,Djibouti,,,,Mar 17 ,,30,,,30.0
26,Mali,0.1,,,Mar 24 ,,28,2.0,,1.0
24,Ethiopia,,,,Mar 12  ,2.0,26,,2.0,0.2
22,Guinea,,,,Mar 12 ,,22,,,2.0
17,Tanzania,0.02,,,Mar 15 ,,19,1.0,1.0,0.3
19,Congo,,,,Mar 14 ,,19,,,3.0
17,Gabon,0.4,2.0,,Mar 12 ,,18,1.0,,8.0
5,Maldives,,,,Mar 06 ,,18,,13.0,33.0
15,Haiti,,1.0,,Mar 19 ,,16,,1.0,1.0
16,New Caledonia,,,,Mar 17 ,,16,,,56.0
14,Myanmar,0.02,,,Mar 22 ,,15,1.0,,0.3
12,Saint Martin,26.0,,,Feb 29 ,,15,1.0,2.0,388.0
14,Bahamas,,1.0,,Mar 14 ,,15,,1.0,38.0
14,Equatorial Guinea,,,,Mar 13 ,,15,,1.0,11.0
15,Eritrea,,,,Mar 20 ,,15,,,4.0
13,Cayman Islands,15.0,,,Mar 12 ,,14,1.0,,213.0
12,Mongolia,,2.0,,Mar 09 ,,14,,2.0,4.0
12,Saint Lucia,,,,Mar 12 ,,13,,1.0,71.0
10,Guyana,3.0,,,Mar 11 ,,12,2.0,,15.0
12,Dominica,,,,Mar 21 ,,12,,,167.0
8,Curaçao,6.0,,,Mar 12 ,,11,1.0,2.0,67.0
9,Namibia,,,,Mar 13 ,,11,,2.0,4.0
8,Syria,0.1,,,Mar 21 ,,10,2.0,,0.6
8,Greenland,,,,Mar 15 ,,10,,2.0,176.0
9,Libya,,,,Mar 23 ,,10,,1.0,1.0
10,Seychelles,,,,Mar 13 ,,10,,,102.0
10,Suriname,,1.0,,Mar 12 ,,10,,,17.0
8,Benin,,,,Mar 15 ,,9,,1.0,0.7
9,Grenada,,,,Mar 21 ,,9,,,80.0
9,Laos,,,,Mar 23 ,,9,,,1.0
9,Eswatini,,,,Mar 13 ,,9,,,8.0
7,Zimbabwe,0.07,,,Mar 19 ,,8,1.0,,0.5
8,Guinea-Bissau,,,,Mar 24 ,,8,,,4.0
8,Mozambique,,,,Mar 21 ,,8,,,0.3
8,Saint Kitts and Nevis,,,,Mar 24 ,,8,,,150.0
4,Angola,0.06,,,Mar 19 ,,7,2.0,1.0,0.2
4,Sudan,0.05,,,Mar 12 ,,7,2.0,1.0,0.2
7,Antigua and Barbuda,,,,Mar 12 ,,7,,,71.0
7,Chad,,,,Mar 18 ,,7,,,0.4
5,Cabo Verde,2.0,,,Mar 19 ,,6,1.0,,11.0
3,Mauritania,0.2,,,Mar 12 ,,6,1.0,2.0,1.0
6,Vatican City,,,,Mar 05 ,,6,,,7491.0
5,St. Barth,,,,Feb 29 ,,6,,1.0,607.0
6,Sint Maarten,,,,Mar 17 ,,6,,,140.0
4,Nicaragua,0.2,,,Mar 18 ,,5,1.0,,0.8
4,Nepal,,,,Jan 23 ,,5,,1.0,0.2
5,Fiji,,,,Mar 18 ,,5,,,6.0
5,Montserrat,,,,Mar 17 ,,5,,,1002.0
4,Somalia,,,,Mar 15 ,,5,,1.0,0.3
5,Turks and Caicos,,,,Mar 22 ,,5,,,129.0
3,Botswana,0.4,,,Mar 29 ,,4,1.0,,2.0
3,Gambia,0.4,,,Mar 16 ,,4,1.0,,2.0
4,Bhutan,,,,Mar 05 ,,4,,,5.0
3,Belize,,,,Mar 22 ,,3,,,8.0
3,British Virgin Islands,,,,Mar 24 ,,3,,,99.0
3,CAR,,,,Mar 14 ,,3,,,0.6
3,Liberia,,,,Mar 15 ,,3,,,0.6
2,MS Zaandam,,,,Mar 26 ,,2,,,
2,Anguilla,,,,Mar 25 ,,2,,,133.0
2,Burundi,,,,Mar 30 ,,2,,,0.2
2,Caribbean Netherlands,,2.0,,Mar 31 ,,2,,,76.0
1,Papua New Guinea,,,,Mar 19 ,,1,,,0.1
0,St. Vincent Grenadines,,,,Mar 10 ,,1,,1.0,9.0
1,Sierra Leone,,,,Mar 30 ,,1,,,0.1
1,Timor-Leste,,,,Mar 20 ,,1,,,0.8
2004,China,2.0,36.0,7.0,Jan 10 ,466.0,81554,3312.0,76238.0,57.0
639125,World,5.4,1481.0,38.0," 
",32838.0,859800,42340.0,178335.0,110.3
