ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
52,Uganda,,,,,57.0,52,,,2629.0,1.0
38,Congo,0.9,,,,,45,5.0,2.0,,8.0
39,Mali,0.2,,,,,45,5.0,1.0,,2.0
21,Togo,0.4,,,,,44,3.0,20.0,,5.0
34,Macao,,,,,,44,,10.0,,68.0
37,Ethiopia,0.02,,,1.0,16.0,43,2.0,4.0,1843.0,0.4
41,French Polynesia,,,,,2179.0,41,,,612.0,146.0
37,Cayman Islands,15.0,,,,5554.0,39,1.0,1.0,365.0,593.0
35,Zambia,0.05,,,,34.0,39,1.0,3.0,619.0,2.0
30,Sint Maarten,140.0,12.0,2.0,,2449.0,37,6.0,1.0,105.0,863.0
23,Bermuda,,,,,4785.0,37,,14.0,298.0,594.0
23,Saint Martin,52.0,,,6.0,,32,2.0,7.0,,828.0
20,Bahamas,13.0,,,1.0,,29,5.0,4.0,,74.0
25,Guyana,5.0,5.0,,,140.0,29,4.0,,110.0,37.0
29,Eritrea,,,,,,29,,,,8.0
22,Gabon,0.4,3.0,,,,24,1.0,1.0,,11.0
18,Tanzania,0.02,,,,,22,1.0,3.0,,0.4
17,Benin,,,,,,22,,5.0,,2.0
19,Haiti,0.09,,,,22.0,21,1.0,1.0,247.0,2.0
20,Myanmar,0.02,,,,,21,1.0,,,0.4
15,Syria,0.1,,,,,19,2.0,2.0,,1.0
6,Maldives,,,,,,19,,13.0,,35.0
17,Libya,0.1,,,,43.0,18,1.0,,294.0,3.0
18,Guinea-Bissau,,,,,,18,,,,9.0
17,New Caledonia,,,,,6946.0,18,,1.0,1983.0,63.0
15,Equatorial Guinea,,,,,,16,,1.0,,11.0
13,Namibia,,,,,118.0,16,,3.0,301.0,6.0
15,Antigua and Barbuda,,,,1.0,408.0,15,,,40.0,153.0
13,Mongolia,,1.0,,,,15,,2.0,,5.0
10,Angola,0.06,,,,,14,2.0,2.0,,0.4
14,Dominica,,,,,3542.0,14,,,255.0,194.0
14,Fiji,,2.0,,,,14,,,,16.0
13,Saint Lucia,,,,,,14,,1.0,,76.0
7,Liberia,0.6,,,,,13,3.0,3.0,,3.0
8,Sudan,0.05,,,,,12,2.0,2.0,,0.3
12,Grenada,,,,2.0,400.0,12,,,45.0,107.0
5,Curaçao,6.0,,,,,11,1.0,5.0,,67.0
8,Greenland,,,,,9547.0,11,,3.0,542.0,194.0
11,Laos,,,,,83.0,11,,,604.0,2.0
9,Suriname,2.0,,,,,10,1.0,,,17.0
9,Mozambique,,,,,11.0,10,,1.0,338.0,0.3
10,Saint Kitts and Nevis,,,,,2801.0,10,,,149.0,188.0
10,Seychelles,,,,,,10,,,,102.0
7,MS Zaandam,,,,,,9,2.0,,,
8,Zimbabwe,0.07,,,,21.0,9,1.0,,316.0,0.6
8,Nepal,,,,,56.0,9,,1.0,1642.0,0.3
9,Chad,,,,,,9,,,,0.5
9,Eswatini,,,,,,9,,,,8.0
8,CAR,,,,,,8,,,,2.0
6,Cabo Verde,2.0,,,,,7,1.0,,,13.0
7,Vatican City,,,,,,7,,,,8739.0
6,St. Vincent Grenadines,,,,,,7,,1.0,,63.0
6,Somalia,,,,,,7,,1.0,,0.4
5,Botswana,0.4,,,,411.0,6,1.0,,966.0,3.0
3,Mauritania,0.2,,,,14.0,6,1.0,2.0,67.0,1.0
5,Nicaragua,0.2,,,,,6,1.0,,,0.9
6,Montserrat,,,,,,6,,,,1202.0
5,St. Barth,,,,,,6,,1.0,,607.0
6,Sierra Leone,,,,,,6,,,,0.8
4,Belize,3.0,,1.0,1.0,257.0,5,1.0,,102.0,13.0
4,Turks and Caicos,26.0,,,,,5,1.0,,,129.0
3,Bhutan,,,,,,5,,2.0,,6.0
1,Gambia,0.4,,,,,4,1.0,2.0,,2.0
4,Malawi,,,,,,4,,,,0.2
4,Western Sahara,,,,,,4,,,,7.0
3,Anguilla,,,,,,3,,,,200.0
3,British Virgin Islands,,,,,,3,,,,99.0
3,Burundi,,,,,,3,,,,0.3
2,Caribbean Netherlands,,,,,381.0,2,,,10.0,76.0
2,Falkland Islands,,,,,,2,,,,575.0
1,Papua New Guinea,,,,,8.0,1,,,72.0,0.1
1,Saint Pierre Miquelon,,,,,,1,,,,173.0
1,South Sudan,,,,,,1,,,,0.09
1,Timor-Leste,,,,,,1,,,,0.8
1299,China,2.0,39.0,2.0,265.0,,81708,3331.0,77078.0,,57.0
940253,World,8.9,1716.0,62.0,45900.0,,1274578,69487.0,264838.0,,163.5
