1stcase,ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
Mar 03 ,90,Faeroe Islands,,,,2.0,144,,54.0,2947.0
Mar 06 ,137,Malta,,,,1.0,139,,2.0,315.0
Mar 11 ,131,Ghana,0.1,,,1.0,137,4.0,2.0,4.0
Feb 23 ,108,Oman,,,,,131,,23.0,26.0
Mar 01 ,108,Senegal,,,,,119,,11.0,7.0
Mar 08 ,103,Brunei ,2.0,,1.0,1.0,115,1.0,11.0,263.0
Mar 12 ,80,Venezuela,0.07,,,2.0,113,2.0,31.0,4.0
Feb 23 ,104,Afghanistan,0.1,,,,110,4.0,2.0,3.0
Jan 26 ,99,Sri Lanka,,,,5.0,106,,7.0,5.0
Mar 14 ,97,Uzbekistan,0.06,16.0,1.0,8.0,104,2.0,5.0,3.0
Mar 10 ,98,Ivory Coast,,,,,101,,3.0,4.0
Jan 26  ,86,Cambodia,,,,1.0,99,,13.0,6.0
Mar 10 ,91,Honduras,0.1,27.0,,4.0,95,1.0,3.0,10.0
Mar 17 ,92,Mauritius,2.0,,,1.0,94,2.0,,74.0
Feb 27 ,62,Belarus,,,,2.0,94,,32.0,10.0
Mar 04 ,92,Martinique,3.0,,,12.0,93,1.0,,248.0
Mar 05 ,87,Cameroon,0.08,,,,91,2.0,2.0,3.0
Mar 04 ,73,Palestine,0.2,,,,91,1.0,17.0,18.0
Mar 08 ,87,Channel Islands,6.0,,,,88,1.0,,506.0
Feb 25 ,69,Georgia,,,,1.0,83,,14.0,21.0
Mar 16 ,81,Montenegro,2.0,,,1.0,82,1.0,,131.0
Mar 10 ,74,Cuba,0.2,,,2.0,80,2.0,4.0,7.0
Mar 09 ,74,Bolivia,,13.0,,,74,,,6.0
Mar 12 ,72,Guadeloupe,2.0,,,4.0,73,1.0,,182.0
Feb 27 ,66,Nigeria,0.0,,,,70,1.0,3.0,0.3
Mar 11 ,63,Trinidad and Tobago,1.0,,,,66,2.0,1.0,47.0
Mar 17 ,58,Kyrgyzstan,,,,,58,,,9.0
Mar 06 ,52,Paraguay,0.4,4.0,,1.0,56,3.0,1.0,8.0
Mar 02 ,56,Liechtenstein,,,,,56,,,1469.0
Mar 02 ,41,Gibraltar,,,,,55,,14.0,1632.0
Mar 13 ,54,Rwanda,,,,,54,,,4.0
Mar 09 ,46,DRC,0.03,,,,51,3.0,2.0,0.6
Mar 13 ,50,Mayotte,,,,,50,,,183.0
Mar 07 ,32,Bangladesh,0.03,,,1.0,48,5.0,11.0,0.3
Feb 27 ,41,Monaco,,,,,42,,1.0,1070.0
Jan 21 ,24,Macao,,,,,34,,10.0,52.0
Mar 12 ,32,Aruba,,,,,33,,1.0,309.0
Mar 12 ,27,Guatemala,0.06,4.0,,1.0,32,1.0,4.0,2.0
Mar 12 ,29,Kenya,0.02,,,2.0,31,1.0,1.0,0.6
Mar 09 ,27,Jamaica,0.3,4.0,,,30,1.0,2.0,10.0
Mar 10 ,30,French Polynesia,,,,,30,,,107.0
Mar 18 ,29,Isle of Man,,,,,29,,,341.0
Mar 06 ,22,French Guiana,,,,,28,,6.0,94.0
Mar 16 ,26,Barbados,,,,,26,,,90.0
Mar 19 ,26,Madagascar,,,,,26,,,0.9
Mar 05 ,23,Togo,0.1,,,,25,1.0,1.0,3.0
Mar 20 ,23,Uganda,,,,,23,,,0.5
Mar 17 ,22,Zambia,,,,,22,,,1.0
Mar 18 ,19,El Salvador,,6.0,,,19,,,3.0
Mar 17 ,15,Bermuda,,,,,17,,2.0,273.0
Mar 12 ,16,Ethiopia,,,,,16,,,0.1
Mar 06 ,7,Maldives,,,,,16,,9.0,30.0
Mar 17 ,15,New Caledonia,,,,,15,,,53.0
Mar 15 ,12,Tanzania,,,,,13,,1.0,0.2
Mar 17 ,12,Djibouti,,,,,12,,,12.0
Mar 13 ,12,Equatorial Guinea,,,,,12,,,9.0
Mar 09 ,12,Mongolia,,1.0,,,12,,,4.0
Mar 21 ,11,Dominica,,,,,11,,,153.0
Mar 24 ,11,Mali,,,,,11,,,0.5
Feb 29 ,11,Saint Martin,,,,,11,,,284.0
Mar 18 ,9,Niger,0.04,,,,10,1.0,,0.4
Mar 14 ,9,Bahamas,,,,,10,,1.0,25.0
Mar 15 ,8,Greenland,,,,,10,,2.0,176.0
Mar 13 ,9,Eswatini,,,,,9,,,8.0
Mar 12 ,7,Cayman Islands,15.0,,,,8,1.0,,122.0
Mar 12 ,5,Curaçao,6.0,,,,8,1.0,2.0,49.0
Mar 12 ,8,Guinea,,,,,8,,,0.6
Mar 19 ,8,Haiti,,,,,8,,,0.7
Mar 22 ,8,Myanmar,,,,,8,,,0.1
Mar 13 ,6,Namibia,,,,,8,,2.0,3.0
Mar 12 ,8,Suriname,,,,,8,,,14.0
Mar 12 ,6,Gabon,0.4,,,,7,1.0,,3.0
Mar 12 ,7,Antigua and Barbuda,,,,,7,,,71.0
Mar 21 ,7,Grenada,,,,,7,,,62.0
Mar 21 ,7,Mozambique,,,,,7,,,0.2
Mar 13 ,7,Seychelles,,,,,7,,,71.0
Mar 15 ,6,Benin,,,,,6,,,0.5
Mar 20 ,6,Eritrea,,,,,6,,,2.0
Mar 23 ,6,Laos,,,,,6,,,0.8
Mar 19 ,4,Cabo Verde,2.0,,,,5,1.0,,9.0
Mar 11 ,4,Guyana,1.0,,,,5,1.0,,6.0
Mar 12 ,4,Sudan,0.02,2.0,,,5,1.0,,0.1
Mar 19 ,4,Zimbabwe,0.07,,,,5,1.0,,0.3
Mar 18 ,5,Fiji,,,,,5,,,6.0
Mar 12 ,5,Mauritania,,2.0,,,5,,,1.0
Mar 17 ,5,Montserrat,,,,,5,,,1002.0
Feb 29 ,5,St. Barth,,,,,5,,,506.0
Mar 21 ,5,Syria,,,,,5,,,0.3
Mar 18 ,3,Nicaragua,0.2,,,,4,1.0,,0.6
Jan 23 ,3,Nepal,,,,,4,,1.0,0.1
Mar 19 ,4,Angola,,,,,4,,,0.1
Mar 14 ,4,Congo,,,,,4,,,0.7
Mar 05 ,4,Vatican City,,,,,4,,,4994.0
Mar 16 ,2,Gambia,0.4,,,,3,1.0,,1.0
Mar 05 ,3,Bhutan,,,,,3,,,4.0
Mar 14 ,3,CAR,,,,,3,,,0.6
Mar 18 ,3,Chad,,,,,3,,,0.2
Mar 15 ,3,Liberia,,,,,3,,,0.6
Mar 12 ,2,Saint Lucia,,,,,3,,1.0,16.0
Mar 17 ,3,Sint Maarten,,,,,3,,,70.0
Mar 15 ,3,Somalia,,,,,3,,,0.2
Mar 26 ,2,MS Zaandam,,,,,2,,,
Mar 25 ,2,Anguilla,,,,,2,,,133.0
Mar 22 ,2,Belize,,,,,2,,,5.0
Mar 24 ,2,British Virgin Islands,,,,,2,,,66.0
Mar 24 ,2,Guinea-Bissau,,,,,2,,,1.0
Mar 24 ,2,Saint Kitts and Nevis,,,,,2,,,38.0
Mar 22 ,2,Turks and Caicos,,,,,2,,,52.0
Mar 23 ,1,Libya,,,,,1,,,0.1
Mar 19 ,1,Papua New Guinea,,,,,1,,,0.1
Mar 10 ,1,St. Vincent Grenadines,,,,,1,,,9.0
Mar 20 ,1,Timor-Leste,,,,,1,,,0.8
