ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
173,Uzbekistan,0.06,6.0,,8.0,187,2.0,12.0,6.0
163,Nigeria,0.01,,,,174,2.0,9.0,0.8
98,Faeroe Islands,,,,1.0,173,,75.0,3541.0
169,Channel Islands,17.0,,,,172,3.0,,989.0
108,Belarus,0.2,,,2.0,163,2.0,53.0,17.0
155,Mauritius,5.0,,,1.0,161,6.0,,127.0
122,Sri Lanka,0.1,,,5.0,146,3.0,21.0,7.0
98,Venezuela,0.1,,,6.0,144,3.0,43.0,5.0
105,Martinique,8.0,,,16.0,135,3.0,27.0,360.0
115,Palestine,0.2,,,,134,1.0,18.0,26.0
78,Brunei ,2.0,,,3.0,131,1.0,52.0,299.0
95,Guadeloupe,15.0,,,14.0,125,6.0,24.0,312.0
121,Montenegro,3.0,,,4.0,123,2.0,,196.0
94,Georgia,,,,6.0,117,,23.0,29.0
111,Kyrgyzstan,,5.0,,5.0,116,,5.0,18.0
107,Bolivia,0.6,,,3.0,115,7.0,1.0,10.0
76,Cambodia,,1.0,,1.0,110,,34.0,7.0
97,DRC,0.1,,,,109,9.0,3.0,1.0
90,Mayotte,4.0,,,3.0,101,1.0,10.0,370.0
84,Trinidad and Tobago,4.0,,,,90,5.0,1.0,64.0
82,Rwanda,,,,,82,,,6.0
77,Kenya,0.02,,,2.0,81,1.0,3.0,2.0
47,Gibraltar,,,,,81,,34.0,2404.0
72,Paraguay,0.4,8.0,,4.0,77,3.0,2.0,11.0
69,Niger,0.2,,,,74,5.0,,3.0
72,Liechtenstein,,,,,72,,,1888.0
67,Isle of Man,12.0,,,,68,1.0,,800.0
57,Madagascar,,,,6.0,57,,,2.0
52,Monaco,25.0,,,2.0,55,1.0,2.0,1402.0
54,Aruba,,,,,55,,1.0,515.0
23,Bangladesh,0.04,,,1.0,54,6.0,25.0,0.3
36,French Guiana,,,,,51,,15.0,171.0
33,Guatemala,0.06,7.0,,1.0,46,1.0,12.0,3.0
45,Barbados,,,,,45,,,157.0
39,Jamaica,1.0,,,,44,3.0,2.0,15.0
44,Uganda,,,,,44,,,1.0
39,El Salvador,0.3,8.0,,4.0,41,2.0,,6.0
31,Macao,,,,,41,,10.0,63.0
37,French Polynesia,,,,1.0,37,,,132.0
24,Togo,0.2,,,,36,2.0,10.0,4.0
36,Zambia,,,,,36,,,2.0
33,Djibouti,,,,,33,,,33.0
22,Bermuda,,,,,32,,10.0,514.0
28,Mali,0.1,,,,31,3.0,,2.0
30,Guinea,,,,,30,,,2.0
27,Ethiopia,,,,2.0,29,,2.0,0.3
20,Congo,0.4,,,,22,2.0,,4.0
21,Cayman Islands,15.0,,,,22,1.0,,335.0
19,Saint Martin,26.0,,,,22,1.0,2.0,569.0
19,Bahamas,3.0,,,,21,1.0,1.0,53.0
18,Tanzania,0.02,,,,20,1.0,1.0,0.3
15,Guyana,5.0,,1.0,,19,4.0,,24.0
6,Maldives,,,,,19,,13.0,35.0
17,Gabon,0.4,,,,18,1.0,,8.0
15,Myanmar,0.02,,,,16,1.0,,0.3
9,Sint Maarten,23.0,,,,16,1.0,6.0,373.0
15,Haiti,,,,,16,,1.0,1.0
15,New Caledonia,,,,,16,,1.0,56.0
14,Equatorial Guinea,,,,,15,,1.0,11.0
15,Eritrea,,,,,15,,,4.0
12,Mongolia,,,,,14,,2.0,4.0
12,Namibia,,,,,14,,2.0,6.0
12,Benin,,,,,13,,1.0,1.0
12,Saint Lucia,,,,,13,,1.0,71.0
12,Dominica,,,,,12,,,167.0
7,Curaçao,6.0,,,,11,1.0,3.0,67.0
8,Syria,0.1,,,,10,2.0,,0.6
8,Greenland,,,,,10,,2.0,176.0
10,Grenada,,1.0,,,10,,,89.0
10,Laos,,,,,10,,,1.0
10,Libya,,,,,10,,,1.0
10,Mozambique,,,,,10,,,0.3
10,Seychelles,,,,,10,,,102.0
10,Suriname,,,,,10,,,17.0
7,MS Zaandam,,,,,9,2.0,,
9,Guinea-Bissau,,,,,9,,,5.0
9,Eswatini,,,,,9,,,8.0
5,Angola,0.06,,,,8,2.0,1.0,0.2
7,Zimbabwe,0.07,,,,8,1.0,,0.5
8,Saint Kitts and Nevis,,,,,8,,,150.0
3,Sudan,0.05,,,,7,2.0,2.0,0.2
7,Antigua and Barbuda,,,,,7,,,71.0
7,Chad,,,,,7,,,0.4
7,Fiji,,2.0,,,7,,,8.0
5,Cabo Verde,2.0,,,,6,1.0,,11.0
3,Mauritania,0.2,,,,6,1.0,2.0,1.0
6,Vatican City,,,,,6,,,7491.0
6,Liberia,,,,,6,,,1.0
5,St. Barth,,,,,6,,1.0,607.0
6,Turks and Caicos,,,,,6,,,155.0
4,Nicaragua,0.2,,,,5,1.0,,0.8
4,Nepal,,,,,5,,1.0,0.2
4,Bhutan,,1.0,,,5,,1.0,6.0
5,Montserrat,,,,,5,,,1002.0
4,Somalia,,,,,5,,1.0,0.3
3,Botswana,0.4,,,,4,1.0,,2.0
1,Gambia,0.4,,,,4,1.0,2.0,2.0
3,Belize,,,,,3,,,8.0
3,British Virgin Islands,,,,,3,,,99.0
3,CAR,,,,,3,,,0.6
2,Anguilla,,,,,2,,,133.0
2,Burundi,,,,,2,,,0.2
2,Caribbean Netherlands,,,,,2,,,76.0
1,St. Vincent Grenadines,,,,,2,,1.0,18.0
2,Sierra Leone,,,,,2,,,0.3
1,Papua New Guinea,,,,,1,,,0.1
1,Timor-Leste,,,,,1,,,0.8
2004,China,2.0,,,466.0,81554,3312.0,76238.0,57.0
694405,World,6.1,1040.0,57.0,35611.0,936237,47249.0,194583.0,120.1
