ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,Reported1st case,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
1219,Finland,2.0,,,Jan 28 ,32.0,1240,11.0,10.0,224.0
1065,Greece,4.0,,,Feb 25 ,66.0,1156,39.0,52.0,111.0
942,India,0.02,47.0,2.0,Jan 29 ,,1071,29.0,100.0,0.8
883,Iceland,6.0,,,Feb 27 ,25.0,1020,2.0,135.0,2989.0
938,Mexico,0.2,145.0,4.0,Feb 27 ,1.0,993,20.0,35.0,8.0
961,Panama,6.0,,,Mar 09 ,36.0,989,24.0,4.0,229.0
817,Dominican Republic,4.0,,,Feb 29 ,,859,39.0,3.0,79.0
818,Peru,0.5,,,Mar 05 ,40.0,852,18.0,16.0,26.0
629,Singapore,0.5,,,Jan 22 ,19.0,844,3.0,212.0,144.0
709,Argentina,0.4,,,Mar 02 ,,820,20.0,91.0,18.0
686,Serbia,1.0,,,Mar 05 ,25.0,741,13.0,42.0,85.0
709,Slovenia,5.0,,,Mar 03 ,23.0,730,11.0,10.0,351.0
652,Croatia,1.0,,,Feb 24  ,26.0,713,6.0,55.0,174.0
99,Diamond Princess,,,,Feb 04 ,15.0,712,10.0,603.0,
682,Colombia,0.2,,,Mar 05 ,29.0,702,10.0,10.0,14.0
656,Estonia,2.0,,,Feb 26 ,10.0,679,3.0,20.0,512.0
520,Hong Kong,0.5,,,Jan 22 ,5.0,642,4.0,118.0,86.0
585,Qatar,0.3,,,Feb 28 ,6.0,634,1.0,48.0,220.0
437,Egypt,0.4,,,Feb 13 ,,609,40.0,132.0,6.0
525,New Zealand,0.2,75.0,,Feb 27 ,2.0,589,1.0,63.0,122.0
509,UAE,0.3,,,Jan 28 ,2.0,570,3.0,58.0,58.0
362,Iraq,1.0,,,Feb 21 ,,547,42.0,143.0,14.0
449,Algeria,0.7,,,Feb 24 ,,511,31.0,31.0,12.0
223,Bahrain,2.0,,,Feb 23 ,1.0,499,4.0,272.0,293.0
440,Morocco,0.7,,,Mar 01 ,1.0,479,26.0,13.0,13.0
459,Ukraine,0.2,,,Mar 02 ,,475,10.0,6.0,11.0
452,Lithuania,3.0,,,Feb 27 ,2.0,460,7.0,1.0,169.0
398,Hungary,2.0,39.0,2.0,Mar 03 ,6.0,447,15.0,34.0,46.0
398,Lebanon,1.0,,,Feb 20 ,4.0,438,10.0,30.0,64.0
391,Armenia,1.0,,,Feb 29 ,6.0,424,3.0,30.0,143.0
346,Latvia,,,,Mar 01 ,3.0,347,,1.0,184.0
324,Bulgaria,1.0,,,Mar 06 ,8.0,346,8.0,14.0,50.0
327,Andorra,78.0,,,Mar 01 ,10.0,334,6.0,1.0,4323.0
309,Bosnia and Herzegovina,2.0,,,Mar 04 ,1.0,323,6.0,8.0,98.0
309,Costa Rica,0.4,,,Mar 04 ,6.0,314,2.0,3.0,62.0
312,Slovakia,,,,Mar 05 ,1.0,314,,2.0,58.0
302,Tunisia,0.7,,,Mar 01 ,10.0,312,8.0,2.0,26.0
303,Uruguay,0.3,,,Mar 12 ,9.0,304,1.0,,88.0
256,Taiwan,0.1,,,Jan 20 ,,298,3.0,39.0,13.0
263,Kazakhstan,0.05,,,Mar 12 ,,284,1.0,20.0,15.0
259,Moldova,0.5,,,Mar 06 ,33.0,263,2.0,2.0,65.0
250,North Macedonia,3.0,,,Feb 25 ,1.0,259,6.0,3.0,124.0
238,Jordan,0.3,,,Mar 01 ,3.0,259,3.0,18.0,25.0
188,Kuwait,,,,Feb 23 ,12.0,255,,67.0,60.0
196,San Marino,648.0,,,Feb 26 ,16.0,224,22.0,6.0,6602.0
187,Burkina Faso,0.6,,,Mar 08 ,,222,12.0,23.0,11.0
193,Cyprus,5.0,,,Mar 08 ,3.0,214,6.0,15.0,177.0
169,Albania,3.0,,,Mar 07 ,3.0,212,10.0,33.0,74.0
190,Azerbaijan,0.4,,,Feb 27 ,23.0,209,4.0,15.0,21.0
142,Vietnam,,,,Jan 22 ,3.0,194,,52.0,2.0
182,Réunion,,,,Mar 10 ,,183,,1.0,204.0
144,Oman,,,,Feb 23 ,3.0,167,,23.0,33.0
160,Ivory Coast,0.04,,,Mar 10 ,,165,1.0,4.0,6.0
89,Faeroe Islands,,,,Mar 03 ,1.0,159,,70.0,3254.0
145,Ghana,0.2,,,Mar 11 ,1.0,152,5.0,2.0,5.0
149,Malta,,,,Mar 06 ,4.0,151,,2.0,342.0
135,Uzbekistan,0.06,,,Mar 14 ,8.0,144,2.0,7.0,4.0
115,Senegal,,,,Mar 01 ,,142,,27.0,8.0
128,Cameroon,0.2,,,Mar 05 ,,139,6.0,5.0,5.0
132,Cuba,0.3,,,Mar 10 ,2.0,139,3.0,4.0,12.0
91,Brunei ,2.0,,,Mar 08 ,1.0,126,1.0,34.0,288.0
114,Afghanistan,0.1,,,Feb 23 ,,120,4.0,2.0,3.0
108,Sri Lanka,0.05,3.0,,Jan 26 ,5.0,120,1.0,11.0,6.0
77,Venezuela,0.1,,,Mar 12 ,6.0,119,3.0,39.0,4.0
107,Nigeria,0.0,,,Feb 27 ,,111,1.0,3.0,0.5
104,Honduras,0.3,,,Mar 10 ,4.0,110,3.0,3.0,11.0
107,Mauritius,2.0,3.0,,Mar 17 ,1.0,110,3.0,,86.0
90,Palestine,0.2,,,Mar 04 ,,109,1.0,18.0,21.0
106,Channel Islands,12.0,,,Mar 08 ,,108,2.0,,621.0
85,Guadeloupe,10.0,,,Mar 12 ,10.0,106,4.0,17.0,265.0
82,Cambodia,,,,Jan 26 ,1.0,103,,21.0,6.0
95,Bolivia,0.09,15.0,,Mar 09 ,3.0,96,1.0,,8.0
62,Belarus,,,,Feb 27 ,2.0,94,,32.0,10.0
92,Martinique,3.0,,,Mar 04 ,12.0,93,1.0,,248.0
73,Georgia,,,,Feb 25 ,1.0,91,,18.0,23.0
84,Montenegro,2.0,,,Mar 16 ,1.0,85,1.0,,135.0
84,Kyrgyzstan,,,,Mar 17 ,,84,,,13.0
71,DRC,0.09,,,Mar 09 ,,81,8.0,2.0,0.9
74,Trinidad and Tobago,2.0,,,Mar 11 ,,78,3.0,1.0,56.0
70,Rwanda,,,,Mar 13 ,,70,,,5.0
51,Gibraltar,,,, Mar 02 ,,65,,14.0,1929.0
60,Paraguay,0.4,5.0,,Mar 06 ,3.0,64,3.0,1.0,9.0
63,Mayotte,,,,Mar 13 ,,63,,,231.0
56,Liechtenstein,,,,Mar 02 ,,56,,,1469.0
49,Aruba,,,,Mar 12 ,,50,,1.0,468.0
28,Bangladesh,0.03,,,Mar 07 ,1.0,48,5.0,15.0,0.3
44,Monaco,25.0,,,Feb 27 ,,46,1.0,1.0,1172.0
37,French Guiana,,,,Mar 06 ,,43,,6.0,144.0
40,Kenya,0.02,,,Mar 12 ,2.0,42,1.0,1.0,0.8
42,Isle of Man,,,,Mar 18 ,,42,,,494.0
39,Madagascar,,,,Mar 19 ,,39,,,1.0
27,Macao,,,,Jan 21 ,,37,,10.0,57.0
23,Guatemala,0.06,,,Mar 12 ,1.0,34,1.0,10.0,2.0
33,Barbados,,,,Mar 16 ,,33,,,115.0
33,Uganda,,,,Mar 20 ,,33,,,0.7
29,Jamaica,0.3,,,Mar 09 ,,32,1.0,2.0,11.0
28,Togo,0.1,5.0,,Mar 05 ,,30,1.0,1.0,4.0
30,El Salvador,,6.0,,Mar 18 ,,30,,,5.0
30,French Polynesia,,,,Mar 10 ,,30,,,107.0
29,Zambia,,,,Mar 17 ,,29,,,2.0
20,Bermuda,,,,Mar 17 ,,22,,2.0,353.0
20,Ethiopia,,,,Mar 12 ,,21,,1.0,0.2
19,Congo,,,,Mar 14 ,,19,,,3.0
17,Mali,0.05,,,Mar 24 ,,18,1.0,,0.9
17,Niger,0.04,,,Mar 18 ,,18,1.0,,0.7
18,Djibouti,,,,Mar 17 ,,18,,,18.0
4,Maldives,,,,Mar 06 ,,17,,13.0,31.0
16,Guinea,,,,Mar 12 ,,16,,,1.0
14,Haiti,,,,Mar 19 ,,15,,1.0,1.0
15,New Caledonia,,,,Mar 17 ,,15,,,53.0
13,Bahamas,,,,Mar 14 ,,14,,1.0,36.0
13,Tanzania,,,,Mar 15 ,,14,,1.0,0.2
11,Cayman Islands,15.0,,,Mar 12 ,,12,1.0,,183.0
12,Equatorial Guinea,,,,Mar 13 ,,12,,,9.0
12,Eritrea,,,,Mar 20 ,,12,,,3.0
12,Mongolia,,,,Mar 09 ,,12,,,4.0
11,Dominica,,,,Mar 21 ,,11,,,153.0
9,Namibia,,,,Mar 13 ,,11,,2.0,4.0
11,Saint Martin,,,,Feb 29 ,,11,,,284.0
8,Greenland,,,,Mar 15 ,,10,,2.0,176.0
10,Myanmar,,,,Mar 22 ,,10,,,0.2
8,Syria,0.06,,,Mar 21 ,,9,1.0,,0.5
9,Grenada,,,,Mar 21 ,,9,,,80.0
8,Saint Lucia,,,,Mar 12 ,,9,,1.0,49.0
9,Eswatini,,,,Mar 13 ,,9,,,8.0
5,Curaçao,6.0,,,Mar 12 ,,8,1.0,2.0,49.0
7,Guyana,1.0,,,Mar 11 ,,8,1.0,,10.0
8,Laos,,,,Mar 23 ,,8,,,1.0
8,Libya,,,,Mar 23 ,,8,,,1.0
8,Mozambique,,,,Mar 21 ,,8,,,0.3
8,Seychelles,,,,Mar 13 ,,8,,,81.0
8,Suriname,,,,Mar 12 ,,8,,,14.0
5,Angola,0.06,,,Mar 19 ,,7,2.0,,0.2
6,Gabon,0.4,,,Mar 12 ,,7,1.0,,3.0
6,Zimbabwe,0.07,,,Mar 19 ,,7,1.0,,0.5
7,Antigua and Barbuda,,,,Mar 12 ,,7,,,71.0
5,Cabo Verde,2.0,,,Mar 19 ,,6,1.0,,11.0
5,Sudan,0.02,,,Mar 12 ,,6,1.0,,0.1
6,Benin,,,,Mar 15 ,,6,,,0.5
6,Vatican City,,,,Mar 05 ,,6,,,7491.0
6,Sint Maarten,,,,Mar 17 ,,6,,,140.0
4,Nepal,,,,Jan 23 ,,5,,1.0,0.2
5,Fiji,,,,Mar 18 ,,5,,,6.0
3,Mauritania,,,,Mar 12 ,,5,,2.0,1.0
5,Montserrat,,,,Mar 17 ,,5,,,1002.0
5,St. Barth,,,,Feb 29 ,,5,,,506.0
3,Gambia,0.4,,,Mar 16 ,,4,1.0,,2.0
3,Nicaragua,0.2,,,Mar 18 ,,4,1.0,,0.6
4,Bhutan,,,,Mar 05 ,,4,,,5.0
4,Turks and Caicos,,,,Mar 22 ,,4,,,103.0
3,CAR,,,,Mar 14 ,,3,,,0.6
3,Chad,,,,Mar 18 ,,3,,,0.2
3,Liberia,,,,Mar 15 ,,3,,,0.6
3,Somalia,,,,Mar 15 ,,3,,,0.2
2,MS Zaandam,,,,Mar 26 ,,2,,,
2,Anguilla,,,,Mar 25 ,,2,,,133.0
2,Belize,,,,Mar 22 ,,2,,,5.0
2,British Virgin Islands,,,,Mar 24 ,,2,,,66.0
2,Guinea-Bissau,,,,Mar 24 ,,2,,,1.0
2,Saint Kitts and Nevis,,,,Mar 24 ,,2,,,38.0
1,Papua New Guinea,,,,Mar 19 ,,1,,,0.1
0,St. Vincent Grenadines,,,,Mar 10 ,,1,,1.0,9.0
1,Timor-Leste,,,,Mar 20 ,,1,,,0.8
2466,China,2.0,31.0,4.0,Jan 10 ,633.0,81470,3304.0,75700.0,57.0
