ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
916,Croatia,2.0,,,34.0,1011,7.0,88.0,246.0
839,Algeria,2.0,,,,986,86.0,61.0,22.0
874,Qatar,1.0,,,37.0,949,3.0,72.0,329.0
856,Ukraine,0.5,,,,897,22.0,19.0,21.0
810,Slovenia,8.0,,,31.0,897,17.0,70.0,431.0
764,New Zealand,0.2,71.0,,2.0,868,1.0,103.0,180.0
606,Egypt,0.6,,,,865,58.0,201.0,8.0
802,Estonia,8.0,,,16.0,858,11.0,45.0,647.0
644,Hong Kong,0.5,,,8.0,802,4.0,154.0,107.0
516,Iraq,1.0,,,,772,54.0,202.0,19.0
82,Diamond Princess,,,,10.0,712,11.0,619.0,
633,Morocco,1.0,,,1.0,708,44.0,31.0,19.0
680,Lithuania,3.0,47.0,,11.0,696,9.0,7.0,256.0
623,Armenia,2.0,,,30.0,663,7.0,33.0,224.0
258,Bahrain,2.0,,,3.0,643,4.0,381.0,378.0
554,Hungary,3.0,38.0,5.0,17.0,623,26.0,43.0,64.0
497,Bosnia and Herzegovina,5.0,,,4.0,533,16.0,20.0,162.0
476,Moldova,1.0,,,65.0,505,6.0,23.0,125.0
432,Lebanon,2.0,,,3.0,494,16.0,46.0,72.0
435,Bulgaria,2.0,20.0,2.0,18.0,477,12.0,30.0,69.0
427,Latvia,,,,3.0,458,,31.0,243.0
436,Tunisia,1.0,,,10.0,455,14.0,5.0,38.0
413,Kazakhstan,0.2,9.0,,6.0,444,3.0,28.0,24.0
403,Andorra,194.0,,,12.0,428,15.0,10.0,5539.0
420,Slovakia,0.2,,,3.0,426,1.0,5.0,78.0
369,Azerbaijan,0.5,,,7.0,400,5.0,26.0,39.0
388,Costa Rica,0.4,,,11.0,396,2.0,6.0,78.0
356,North Macedonia,5.0,,,4.0,384,11.0,17.0,184.0
297,Uruguay,1.0,19.0,,13.0,369,4.0,68.0,106.0
318,Cyprus,8.0,,,11.0,356,10.0,28.0,295.0
261,Kuwait,,,,15.0,342,,81.0,80.0
284,Taiwan,0.2,,,,339,5.0,50.0,14.0
268,Réunion,,,,3.0,308,,40.0,344.0
289,Cameroon,0.3,,,,306,7.0,10.0,12.0
247,Belarus,0.4,,,11.0,304,4.0,53.0,32.0
249,Jordan,0.5,,,5.0,299,5.0,45.0,29.0
222,Burkina Faso,0.8,,,,288,16.0,50.0,14.0
185,Albania,6.0,,,7.0,277,16.0,76.0,96.0
257,Afghanistan,0.2,,,,273,6.0,10.0,7.0
194,San Marino,884.0,,,15.0,245,30.0,21.0,7221.0
214,Cuba,0.5,,,7.0,233,6.0,13.0,21.0
148,Vietnam,,,,3.0,233,,85.0,2.0
173,Oman,0.2,,,3.0,231,1.0,57.0,45.0
204,Honduras,2.0,3.0,1.0,10.0,222,15.0,3.0,22.0
194,Uzbekistan,0.06,16.0,,8.0,221,2.0,25.0,7.0
168,Ghana,0.2,,,2.0,204,5.0,31.0,7.0
194,Malta,,,,2.0,196,,2.0,444.0
139,Senegal,0.06,,,,195,1.0,55.0,12.0
178,Ivory Coast,0.04,,,,194,1.0,15.0,7.0
190,Channel Islands,17.0,,,,193,3.0,,1110.0
162,Nigeria,0.01,,,,184,2.0,20.0,0.9
96,Faeroe Islands,,,,1.0,177,,81.0,3622.0
162,Mauritius,6.0,,,1.0,169,7.0,,133.0
142,Palestine,0.2,,,,161,1.0,18.0,32.0
126,Sri Lanka,0.2,,,5.0,151,4.0,21.0,7.0
98,Venezuela,0.2,,,6.0,146,5.0,43.0,5.0
142,Montenegro,3.0,,,4.0,144,2.0,,229.0
108,Martinique,8.0,,,19.0,138,3.0,27.0,368.0
118,DRC,0.1,,,,134,13.0,3.0,1.0
108,Georgia,,,,6.0,134,,26.0,34.0
76,Brunei ,2.0,,,3.0,133,1.0,56.0,304.0
122,Bolivia,0.8,9.0,1.0,3.0,132,9.0,1.0,11.0
124,Kyrgyzstan,0.2,14.0,1.0,5.0,130,1.0,5.0,20.0
98,Guadeloupe,15.0,,,14.0,128,6.0,24.0,320.0
105,Mayotte,4.0,,,3.0,116,1.0,10.0,425.0
79,Cambodia,,4.0,,1.0,114,,35.0,7.0
103,Kenya,0.06,,,2.0,110,3.0,4.0,2.0
93,Niger,0.2,,,,98,5.0,,4.0
90,Trinidad and Tobago,4.0,3.0,1.0,,97,6.0,1.0,69.0
94,Isle of Man,12.0,,,,95,1.0,,1117.0
85,Paraguay,0.4,15.0,,4.0,92,3.0,4.0,13.0
42,Gibraltar,,,,,88,,46.0,2612.0
84,Rwanda,,,,,84,,,6.0
75,Liechtenstein,,,,,75,,,1967.0
57,Monaco,25.0,,,2.0,60,1.0,2.0,1529.0
59,Aruba,,,,,60,,1.0,562.0
59,Madagascar,,,,6.0,59,,,2.0
25,Bangladesh,0.04,,,1.0,56,6.0,25.0,0.3
52,Guinea,,,,,52,,,4.0
36,French Guiana,,,,,51,,15.0,171.0
42,Jamaica,1.0,,,,47,3.0,2.0,16.0
34,Guatemala,0.06,,,1.0,47,1.0,12.0,3.0
44,El Salvador,0.3,5.0,,4.0,46,2.0,,7.0
46,Barbados,,,,,46,,,160.0
45,Uganda,,,,,45,,,1.0
31,Macao,,,,,41,,10.0,63.0
40,Djibouti,,,,,40,,,40.0
20,Togo,0.2,,,,39,2.0,17.0,5.0
38,Zambia,0.05,,,,39,1.0,,2.0
37,French Polynesia,,,,1.0,37,,,132.0
33,Mali,0.1,,,,36,3.0,,2.0
24,Bermuda,,,,,35,,11.0,562.0
26,Ethiopia,,,,2.0,29,,3.0,0.3
27,Cayman Islands,15.0,,,,28,1.0,,426.0
22,Bahamas,3.0,,,1.0,24,1.0,1.0,61.0
18,Congo,0.4,,,,22,2.0,2.0,4.0
19,Saint Martin,26.0,,,,22,1.0,2.0,569.0
22,Eritrea,,,,,22,,,6.0
19,Gabon,0.4,,,,21,1.0,1.0,9.0
19,Myanmar,0.02,,,,20,1.0,,0.4
17,Tanzania,0.02,,,,20,1.0,2.0,0.3
15,Guyana,5.0,,,,19,4.0,,24.0
6,Maldives,,,,,19,,13.0,35.0
11,Sint Maarten,23.0,,,,18,1.0,6.0,420.0
17,Haiti,,2.0,,,18,,1.0,2.0
17,New Caledonia,,,,,18,,1.0,63.0
14,Syria,0.1,,,,16,2.0,,0.9
14,Equatorial Guinea,,,,,15,,1.0,11.0
12,Mongolia,,,,,14,,2.0,4.0
11,Namibia,,,,,14,,3.0,6.0
12,Benin,,,,,13,,1.0,1.0
12,Saint Lucia,,,,,13,,1.0,71.0
12,Dominica,,,,,12,,,167.0
7,Curaçao,6.0,,,,11,1.0,3.0,67.0
10,Libya,0.1,,,,11,1.0,,2.0
8,Greenland,,,,,10,,2.0,176.0
10,Grenada,,,,,10,,,89.0
10,Laos,,,,,10,,,1.0
10,Mozambique,,,,,10,,,0.3
10,Seychelles,,,,,10,,,102.0
10,Suriname,,,,,10,,,17.0
7,MS Zaandam,,,,,9,2.0,,
8,Zimbabwe,0.07,,,,9,1.0,,0.6
9,Antigua and Barbuda,,,,,9,,,92.0
9,Guinea-Bissau,,,,,9,,,5.0
9,Saint Kitts and Nevis,,,,,9,,,169.0
9,Eswatini,,,,,9,,,8.0
5,Angola,0.06,,,,8,2.0,1.0,0.2
4,Sudan,0.05,,,,8,2.0,2.0,0.2
8,CAR,,5.0,,,8,,,2.0
8,Chad,,,,,8,,,0.5
7,Fiji,,,,,7,,,8.0
7,Vatican City,,,,,7,,,8739.0
5,Cabo Verde,2.0,,,,6,1.0,,11.0
3,Mauritania,0.2,,,,6,1.0,2.0,1.0
5,Nepal,,,,,6,,1.0,0.2
6,Liberia,,,,,6,,,1.0
5,St. Barth,,,,,6,,1.0,607.0
4,Nicaragua,0.2,,,,5,1.0,,0.8
4,Bhutan,,,,,5,,1.0,6.0
5,Montserrat,,,,,5,,,1002.0
4,Somalia,,,,,5,,1.0,0.3
5,Turks and Caicos,,,,,5,,,129.0
3,Botswana,0.4,,,,4,1.0,,2.0
1,Gambia,0.4,,,,4,1.0,2.0,2.0
3,Anguilla,,,,,3,,,200.0
3,Belize,,,,,3,,,8.0
3,British Virgin Islands,,,,,3,,,99.0
3,Burundi,,,,,3,,,0.3
3,Malawi,,,,,3,,,0.2
2,Caribbean Netherlands,,,,,2,,,76.0
1,St. Vincent Grenadines,,,,,2,,1.0,18.0
2,Sierra Leone,,,,,2,,,0.3
1,Papua New Guinea,,,,,1,,,0.1
1,Timor-Leste,,,,,1,,,0.8
1727,China,2.0,31.0,4.0,379.0,81620,3322.0,76571.0,57.0
749960,World,6.8,1265.0,71.0,37654.0,1016330,53238.0,213132.0,130.4
