date,cases,active,death,tests
2020-09-20,640040,489664,30495,8582722
2020-09-21,671468,521092,30663,8582722
2020-09-22,682267,531891,30904,8582722
2020-09-23,693556,543180,31034,8582722
2020-09-24,704209,553833,31118,9338927
2020-09-25,716481,566105,31232,9338927
2020-09-26,716481,566105,31232,9338927
2020-09-27,716481,566105,31232,9338927
2020-09-28,748266,597890,31411,9338927
2020-09-29,748266,597890,31411,9338927
2020-09-30,769188,618812,31791,9338927
2020-10-01,778607,628231,31973,10121252
2020-10-02,789932,639556,32086,10121252
2020-10-03,789932,639556,32086,10121252
2020-10-04,789932,639556,32086,10121252
2020-10-05,813412,663036,32225,10121252
2020-10-06,825410,675034,32486,10121252
2020-10-07,835901,685525,32562,10121252
2020-10-08,848324,697948,32688,10923025
2020-10-09,861112,710736,32929,10923025
2020-10-10,861112,710736,32929,10923025
2020-10-11,861112,710736,32929,10923025
2020-10-12,888968,738592,33124,10923025
2020-10-13,896086,745710,33204,10923025
2020-10-14,908056,757680,33413,10923025
2020-10-15,921374,770998,33553,11679598
2020-10-16,936560,786184,33775,11679598
2020-10-17,936560,786184,33775,11679598
2020-10-18,936560,786184,33775,11679598
2020-10-19,974449,824073,33992,11679598
2020-10-20,988322,837946,34210,11679598
2020-10-21,1005295,854919,34366,11679598
2020-10-22,1026281,875905,34521,12699006
2020-10-23,1046132,895756,34752,12699006
2020-10-24,1046132,895756,34752,12699006
2020-10-25,1046132,895756,34752,12699006
2020-10-26,1098320,947944,35031,12699006
2020-10-27,1116738,966362,35298,12699006
2020-10-28,1136503,986127,35466,12699006
2020-10-29,1160083,1009707,35639,13880479
2020-10-30,1185678,1035302,35878,13880479
2020-10-31,1185678,1035302,35878,13880479
2020-11-01,1185678,1035302,35878,13880479
2020-11-02,1240697,1090321,36257,13880479
2020-11-03,1259366,1108990,36495,13880479
2020-11-04,1284408,1134032,38118,13880479
2020-11-05,1306316,1155940,38486,15046654
2020-11-06,1328832,1178456,38833,15046654
2020-11-07,1328832,1178456,38833,15046654
2020-11-08,1328832,1178456,38833,15046654
2020-11-09,1381218,1230842,39345,15046654
2020-11-10,1381218,1230842,39345,15046654
2020-11-11,1417709,1267333,40105,15046654
2020-11-12,1437220,1286844,40461,16221524
2020-11-13,1458591,1308215,40769,16221524
2020-11-14,1458591,1308215,40769,16221524
2020-11-15,1458591,1308215,40769,16221524
2020-11-16,1496864,1346488,41253,16221524
2020-11-17,1510023,1359647,41688,16221524
2020-11-18,1525341,1374965,42039,16221524
2020-11-19,1541574,1391198,42291,17288176
2020-11-20,1556730,1406354,42619,17288176
2020-11-21,1556730,1406354,42619,17288176
2020-11-22,1556730,1406354,42619,17288176
2020-11-23,1582616,1432240,43131,17288176
2020-11-24,1594844,1444468,43668,17288176
2020-11-25,1605066,1454690,44037,17288176
2020-11-26,1617355,1466979,44374,18249203
2020-11-27,1628208,1477832,44668,18249203
2020-11-28,1628208,1477832,44668,18249203
2020-11-29,1628208,1477832,44668,18249203
2020-11-30,1648187,1497811,45069,18249203
2020-12-01,1656444,1506068,45511,18249203
2020-12-02,1665775,1515399,45784,18249203
2020-12-03,1675902,1525526,46038,19163355
2020-12-04,1684647,1534271,46252,19163355
2020-12-05,1684647,1534271,46252,19163355
2020-12-06,1684647,1534271,46252,19163355
2020-12-07,1702328,1551952,46646,19163355
2020-12-08,1702328,1551952,46646,19163355
2020-12-09,1712101,1561725,47019,19163355
2020-12-10,1720056,1569680,47344,19915453
2020-12-11,1730575,1580199,47624,19915453
2020-12-12,1730575,1580199,47624,19915453
2020-12-13,1730575,1580199,47624,19915453
2020-12-14,1751884,1601508,48013,19915453
2020-12-15,1762212,1611836,48401,19915453
2020-12-16,1773290,1622914,48596,19915453
2020-12-17,1785421,1635045,48777,20884070
2020-12-18,1797236,1646860,48926,20884070
2020-12-19,1797236,1646860,48926,20884070
2020-12-20,1797236,1646860,48926,20884070
2020-12-21,1819249,1668873,49260,20884070
2020-12-22,1829903,1679527,49520,20884070
2020-12-23,1842289,1691913,49698,20884070
2020-12-24,1854951,1704575,49824,21889333
2020-12-25,1854951,1704575,49824,21889333
2020-12-26,1854951,1704575,49824,21889333
2020-12-27,1854951,1704575,49824,21889333
2020-12-28,1879413,1729037,50122,21889333
2020-12-29,1893502,1743126,50442,21889333
2020-12-30,1910218,1759842,50689,21889333
2020-12-31,1928265,1777889,50837,22688602
2021-01-01,1928265,1777889,50837,22688602
2021-01-02,1928265,1777889,50837,22688602
2021-01-03,1928265,1777889,50837,22688602
2021-01-04,1958844,1808468,51078,22688602
2021-01-05,1982544,1832168,51430,22688602
2021-01-06,1982544,1832168,51430,22688602
2021-01-07,2024904,1874528,51675,23520674
2021-01-08,2050360,1899984,51874,23520674
2021-01-09,2050360,1899984,51874,23520674
2021-01-10,2050360,1899984,51874,23520674
2021-01-11,2111782,1961406,52275,23520674
2021-01-12,2137220,1986844,52683,23520674
2021-01-13,2176089,2025713,52878,23520674
2021-01-14,2211967,2061591,53079,24815526
2021-01-15,2252164,2101788,53314,24815526
2021-01-16,2252164,2101788,53314,24815526
2021-01-17,2252164,2101788,53314,24815526
2021-01-18,2336451,2186075,53769,24815526
2021-01-19,2370742,2220366,54173,24815526
2021-01-20,2412318,2261942,54637,24815526
2021-01-21,2456675,2306299,55041,24815526
2021-01-22,2499560,2349184,55441,24815526
2021-01-23,2499560,2349184,55441,24815526
2021-01-24,2499560,2349184,55441,24815526
